occupation,mdn_weekly_earnings_total,mdn_weekly_earnings_men,mdn_weekly_earning_women
Occupational therapy assistants and aides,–,–,–
Physical therapist assistants and aides,951,–,–
Massage therapists,–,–,–
Dental assistants,819,–,806
Medical assistants,792,–,779
Medical transcriptionists,–,–,–
Pharmacy aides,–,–,–
Veterinary assistants and laboratory animal caretakers,–,–,–
Phlebotomists,738,–,731
Other healthcare support workers,893,"1,037",822
Protective service occupations,"1,109","1,187",906
First-line supervisors of correctional officers,–,–,–
First-line supervisors of police and detectives,"1,859","1,878",–
First-line supervisors of firefighting and prevention workers,–,–,–
First-line supervisors of security workers,"1,200",–,–
"First-line supervisors of protective service workers, all other",–,–,–
Firefighters,"1,438","1,470",–
Fire inspectors,–,–,–
Bailiffs,–,–,–
Correctional officers and jailers,990,"1,048",897
Detectives and criminal investigators,"1,800","1,879",–
Fish and game wardens,–,–,–
Parking enforcement workers,–,–,–
Police officers,"1,458","1,494","1,221"
Animal control workers,–,–,–
Private detectives and investigators,"1,307","1,308","1,305"
Security guards and gambling surveillance officers,768,792,718
Crossing guards and flaggers,–,–,–
Transportation security screeners,–,–,–
School bus monitors,–,–,–
Other protective service workers,813,–,–
Food preparation and serving related occupations,689,717,653
Chefs and head cooks,863,909,784
First-line supervisors of food preparation and serving workers,817,893,803
Cooks,671,694,617
Food preparation workers,648,662,638
Bartenders,764,829,719
Fast food and counter workers,623,676,613
Waiters and waitresses,664,698,642
"Food servers, nonrestaurant",693,823,635
Dining room and cafeteria attendants and bartender helpers,691,722,615
Dishwashers,636,629,–
"Hosts and hostesses, restaurant, lounge, and coffee shop",609,–,605
"Food preparation and serving related workers, all other",–,–,–
Building and grounds cleaning and maintenance occupations,729,780,674
First-line supervisors of housekeeping and janitorial workers,"1,007","1,117",837
"First-line supervisors of landscaping, lawn service, and groundskeeping workers","1,071","1,074",–
Janitors and building cleaners,727,779,651
Maids and housekeeping cleaners,678,710,674
Pest control workers,897,906,–
Landscaping and groundskeeping workers,714,718,–
Tree trimmers and pruners,899,894,–
Other grounds maintenance workers,–,–,–
Personal care and service occupations,757,880,725
Supervisors of personal care and service workers,982,–,–
Animal trainers,–,–,–
Animal caretakers,718,–,707
Gambling services workers,"1,009",–,–
"Ushers, lobby attendants, and ticket takers",–,–,–
Other entertainment attendants and related workers,707,–,–
"Embalmers, crematory operators, and funeral attendants",–,–,–
"Morticians, undertakers, and funeral arrangers",–,–,–
Barbers,–,–,–
"Hairdressers, hairstylists, and cosmetologists",771,–,762
Manicurists and pedicurists,750,–,717
Skincare specialists,–,–,–
Other personal appearance workers,–,–,–
"Baggage porters, bellhops, and concierges",816,–,–
Tour and travel guides,–,–,–
Childcare workers,693,–,695
Exercise trainers and group fitness instructors,805,–,–
Recreation workers,730,–,712
Residential advisors,–,–,–
"Personal care and service workers, all other",755,–,–
,,,
Sales and office occupations,964,"1,156",894
Sales and related occupations,"1,046","1,264",880
First-line supervisors of retail sales workers,"1,022","1,152",903
First-line supervisors of non-retail sales workers,"1,418","1,562","1,117"
Cashiers,633,684,616
Counter and rental clerks,–,–,–
Parts salespersons,863,927,–
Retail salespersons,884,988,765
Advertising sales agents,"1,650","2,099","1,636"
Insurance sales agents,"1,132","1,414",966
"Securities, commodities, and financial services sales agents","2,082","2,305","1,225"
Travel agents,"1,093",–,–
"Sales representatives of services, except advertising, insurance, financial services, and travel","1,449","1,543","1,159"
"Sales representatives, wholesale and manufacturing","1,569","1,652","1,201"
"Models, demonstrators, and product promoters",–,–,–
Real estate brokers and sales agents,"1,392","1,743","1,147"
Sales engineers,–,–,–
Telemarketers,–,–,–
"Door-to-door sales workers, news and street vendors, and related workers",–,–,–
"Sales and related workers, all other","1,060","1,139",934
Office and administrative support occupations,925,"1,054",898
First-line supervisors of office and administrative support workers,"1,161","1,358","1,089"
"Switchboard operators, including answering service",–,–,–
Telephone operators,–,–,–
"Communications equipment operators, all other",–,–,–
Bill and account collectors,982,–,937
Billing and posting clerks,870,–,873
"Bookkeeping, accounting, and auditing clerks",962,"1,154",936
Gambling cage workers,–,–,–
Payroll and timekeeping clerks,963,–,949
Procurement clerks,–,–,–
Tellers,763,–,765
"Financial clerks, all other","1,119",–,982
Brokerage clerks,–,–,–
Correspondence clerks,–,–,–
"Court, municipal, and license clerks",971,–,899
"Credit authorizers, checkers, and clerks",–,–,–
Customer service representatives,868,936,836
"Eligibility interviewers, government programs","1,000",–,955
File Clerks,895,–,887
"Hotel, motel, and resort desk clerks",737,–,–
"Interviewers, except eligibility and loan",890,–,878
"Library assistants, clerical",–,–,–
Loan interviewers and clerks,"1,002",–,928
New accounts clerks,–,–,–
Order clerks,885,–,–
"Human resources assistants, except payroll and timekeeping","1,077",–,"1,007"
Receptionists and information clerks,767,900,756
Reservation and transportation ticket agents and travel clerks,937,874,–
"Information and record clerks, all other",815,–,803
Cargo and freight agents,–,–,–
Couriers and messengers,890,931,775
Public safety telecommunicators,"1,140",–,–
"Dispatchers, except police, fire, and ambulance",958,"1,026",926
"Meter readers, utilities",–,–,–
Postal service clerks,"1,041",–,–
Postal service mail carriers,"1,218","1,241","1,164"
"Postal service mail sorters, processors, and processing machine operators",–,–,–
"Production, planning, and expediting clerks","1,274","1,386","1,164"
"Shipping, receiving, and inventory clerks",853,888,788
"Weighers, measurers, checkers, and samplers, recordkeeping",906,–,–
Executive secretaries and executive administrative assistants,"1,272",–,"1,267"
Legal secretaries and administrative assistants,–,–,–
Medical secretaries and administrative assistants,880,–,886
"Secretaries and administrative assistants, except legal, medical, and executive",930,"1,090",918
Data entry keyers,923,–,886
Word processors and typists,–,–,–
Desktop publishers,–,–,–
Insurance claims and policy processing clerks,891,986,882
"Mail clerks and mail machine operators, except postal service",–,–,–
"Office clerks, general",877,"1,003",847
"Office machine operators, except computer",–,–,–
Proofreaders and copy markers,–,–,–
Statistical assistants,–,–,–
"Office and administrative support workers, all other","1,012","1,072",999
,,,
"Natural resources, construction, and maintenance occupations","1,042","1,067",800
"Farming, fishing, and forestry occupations",716,733,684
"First-line supervisors of farming, fishing, and forestry workers",–,–,–
Agricultural inspectors,–,–,–
Animal breeders,–,–,–
"Graders and sorters, agricultural products",693,–,–
Miscellaneous agricultural workers,705,716,678
Fishing and hunting workers,–,–,–
Forest and conservation workers,–,–,–
Logging workers,–,–,–
Construction and extraction occupations,"1,017","1,022",853
First-line supervisors of construction trades and extraction workers,"1,390","1,400",–
Boilermakers,–,–,–
"Brickmasons, blockmasons, and stonemasons","1,037","1,069",–
Carpenters,929,941,–
